2009,1,6,22,3.6,260,15,1016.05,0.823,15.8,0
2009,1,6,23,7.56,250,15,1016.05,0.823,14.96,0
2009,1,7,0,0,0,14.8,1016,0.806,22.32,0
2009,1,7,1,3.6,150,15,1016.45,0.77,15.8,0
2009,1,7,2,3.6,210,14,1016.45,0.821,14.69,0
2009,1,7,3,0,0,13.2,1016.9,0.871,21.33,0
2009,1,7,4,0,0,13,1017.8,0.877,21.21,0
2009,1,7,5,0,0,17,1017.8,0.773,23.69,0
2009,1,7,6,5.4,170,20.6,1018.7,0.582,21.74,0
2009,1,7,7,5.4,160,21,1017.45,0.603,22.19,0
2009,1,7,8,3.6,70,22,1017.45,0.567,23.55,0
2009,1,7,9,9.36,140,23.4,1016.2,0.457,24.68,0
2009,1,7,10,9.36,190,23.4,1016.2,0.457,24.68,0
2009,1,7,11,9.36,270,24,1016.2,0.412,25.39,0
2009,1,7,12,16.56,310,22.5,1015.2,0.546,23.27,0
2009,1,7,13,12.96,340,22,1016.6,0.567,22.81,0
2009,1,7,14,7.56,340,20,1016.6,0.526,20.8,0
2009,1,7,15,5.4,330,19.8,1016.4,0.702,20.82,0
2009,1,7,16,0,0,19,1017.1,0.728,24.94,0
2009,1,7,17,0,0,17,1017.1,0.773,23.69,0
2009,1,7,18,0,0,15.6,1017.8,0.802,22.82,0
2009,1,7,19,3.6,180,15,1017.6,0.823,15.8,0
2009,1,7,20,3.6,190,14,1017.6,0.878,14.69,0
2009,1,7,21,3.6,180,13.5,1017.4,0.877,14.13,0
2009,1,7,22,3.6,200,13,1017.55,0.877,13.58,0
2009,1,7,23,5.4,170,13,1017.55,0.877,13.07,0
2009,1,8,0,3.6,200,12,1017.7,0.936,12.47,0
2009,1,8,1,5.4,160,13,1017.9,0.937,13.07,0
2009,1,8,2,3.6,200,12,1017.9,0.936,12.47,0
2009,1,8,3,5.4,200,11.8,1018.1,0.936,11.7,0
2009,1,8,4,5.4,190,13,1019.15,0.937,13.07,0
